2021-10-01 19:34:39,996 DEBUG o.h.v.i.e.ValidatorFactoryConfigurationHelper [background-preinit] HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2021-10-01 19:34:40,024 DEBUG o.s.b.c.l.ClasspathLoggingApplicationListener [restartedMain] Application started with classpath: [file:/Users/quoctran/Documents/GitHub/SEPT2021_MajorProject/BackEnd/loginmicroservices/target/classes/]
2021-10-01 19:34:40,026 DEBUG o.h.v.i.e.ValidatorFactoryConfigurationHelper [background-preinit] HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2021-10-01 19:34:40,027 DEBUG o.h.v.i.e.ValidatorFactoryConfigurationHelper [background-preinit] HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
2021-10-01 19:34:40,028 DEBUG o.h.v.i.e.ValidatorFactoryConfigurationHelper [background-preinit] HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2021-10-01 19:34:40,028 DEBUG o.h.v.i.e.ValidatorFactoryConfigurationHelper [background-preinit] HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2021-10-01 19:34:40,032 DEBUG o.h.v.i.e.ValidatorFactoryConfigurationHelper [background-preinit] HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2021-10-01 19:34:40,307 INFO o.s.b.StartupInfoLogger [restartedMain] Starting ms_login on localhost with PID 1388 (/Users/quoctran/Documents/GitHub/SEPT2021_MajorProject/BackEnd/loginmicroservices/target/classes started by quoctran in /Users/quoctran/Documents/GitHub/SEPT2021_MajorProject/BackEnd)
2021-10-01 19:34:40,311 DEBUG o.s.b.StartupInfoLogger [restartedMain] Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2021-10-01 19:34:40,312 INFO o.s.b.SpringApplication [restartedMain] No active profile set, falling back to default profiles: default
2021-10-01 19:34:40,313 DEBUG o.s.b.SpringApplication [restartedMain] Loading source class com.rmit.sept.bk_loginservices.ms_login
